CustomerID,Lookalikes
C0001,"[('C0148', 0.8629284084221371), ('C0114', 0.8453481833544942), ('C0018', 0.8427181223650327)]"
C0002,"[('C0030', 0.7466866394242264), ('C0079', 0.7220020299634365), ('C0133', 0.7045921074203425)]"
C0003,"[('C0040', 0.8228670706943095), ('C0196', 0.7924437759156922), ('C0152', 0.7575370534422311)]"
C0004,"[('C0118', 0.7873773940557695), ('C0065', 0.7776305048403639), ('C0139', 0.7593611378208578)]"
C0005,"[('C0130', 0.7328481036258837), ('C0007', 0.7300270113691516), ('C0069', 0.7271933649541091)]"
C0006,"[('C0169', 0.7570991172916482), ('C0085', 0.6848781754390622), ('C0047', 0.6681551527901443)]"
C0007,"[('C0001', 0.7644251233168058), ('C0095', 0.7492349415092081), ('C0120', 0.7315636461330288)]"
C0008,"[('C0098', 0.8372484349949191), ('C0175', 0.8188191145453523), ('C0075', 0.8016256234158938)]"
C0009,"[('C0183', 0.7659301859571745), ('C0033', 0.7324993409716366), ('C0062', 0.6886572034618567)]"
C0010,"[('C0061', 0.8859496170757868), ('C0042', 0.8538512303634769), ('C0056', 0.794574048931288)]"
C0011,"[('C0177', 0.7797479003931463), ('C0063', 0.7612911044620589), ('C0142', 0.7073085657881687)]"
C0012,"[('C0116', 0.7880582312595049), ('C0076', 0.680469999399936), ('C0065', 0.6604577884610425)]"
C0013,"[('C0028', 0.9001603962068745), ('C0188', 0.7963718261337069), ('C0183', 0.7695562223926242)]"
C0014,"[('C0151', 0.999764656103971), ('C0178', 0.8442983203712523), ('C0128', 0.8416617165812075)]"
C0015,"[('C0063', 0.7294984828685928), ('C0182', 0.6743027156766288), ('C0121', 0.6712507837169523)]"
C0016,"[('C0184', 0.7926033138809787), ('C0066', 0.7835565279544723), ('C0040', 0.7803448515705735)]"
C0017,"[('C0021', 0.7631361709500853), ('C0084', 0.7448165210533925), ('C0041', 0.6883611505279176)]"
C0018,"[('C0001', 0.8427181223650327), ('C0148', 0.7991045919362552), ('C0191', 0.7614581747562421)]"
C0019,"[('C0171', 0.8640416021530607), ('C0126', 0.8580636838130609), ('C0191', 0.7357227546932529)]"
C0020,"[('C0115', 0.913093314065156), ('C0001', 0.759206894475736), ('C0026', 0.7559324249484881)]"
C0021,"[('C0084', 0.8039128627712852), ('C0141', 0.7830838056676976), ('C0173', 0.7703431519241315)]"
C0022,"[('C0029', 0.7500253627032958), ('C0099', 0.6947925175968392), ('C0098', 0.6686180152484973)]"
C0023,"[('C0155', 0.747432036562324), ('C0125', 0.6725774151466756), ('C0087', 0.6387764885897751)]"
C0024,"[('C0054', 0.8378863522961806), ('C0124', 0.7998427146153013), ('C0156', 0.759068714163143)]"
C0025,"[('C0167', 0.8812330833550224), ('C0036', 0.8778360149526573), ('C0031', 0.8492311635465618)]"
C0026,"[('C0197', 0.8188518879774508), ('C0039', 0.7810333432578647), ('C0020', 0.7559324249484881)]"
C0027,"[('C0074', 0.8591693530944489), ('C0117', 0.8354642185140767), ('C0044', 0.7985603353286338)]"
C0028,"[('C0013', 0.9001603962068745), ('C0188', 0.8797200751165574), ('C0051', 0.8166084069491738)]"
C0029,"[('C0022', 0.7500253627032958), ('C0142', 0.7383969170630208), ('C0107', 0.7063032060577306)]"
C0030,"[('C0042', 0.8862153122723151), ('C0061', 0.8857514924926717), ('C0034', 0.8804766701592927)]"
C0031,"[('C0025', 0.8492311635465618), ('C0053', 0.7453645934769128), ('C0167', 0.7308593843526381)]"
C0032,"[('C0061', 0.7942322789123388), ('C0042', 0.7470583734114123), ('C0030', 0.6570881309490846)]"
C0033,"[('C0077', 0.8643319254613628), ('C0200', 0.776617803327948), ('C0043', 0.7511508686111495)]"
C0034,"[('C0030', 0.8804766701592927), ('C0056', 0.8406274039322383), ('C0042', 0.8077503841544941)]"
C0035,"[('C0120', 0.7265421733283993), ('C0050', 0.5734545859594846), ('C0199', 0.5693757813542986)]"
C0036,"[('C0025', 0.8778360149526573), ('C0167', 0.7762146449498978), ('C0123', 0.7092399552488837)]"
C0037,"[('C0172', 0.7671668391698996), ('C0071', 0.7278891195318739), ('C0182', 0.7043210361543254)]"
C0038,"[('C0160', 0.8703761271069108), ('C0052', 0.8433580599190711), ('C0110', 0.7033553276408514)]"
C0039,"[('C0026', 0.7810333432578647), ('C0115', 0.7758319024050985), ('C0119', 0.6833268937228557)]"
C0040,"[('C0058', 0.9164606249583981), ('C0003', 0.8228670706943095), ('C0016', 0.7803448515705735)]"
C0041,"[('C0139', 0.759010042707136), ('C0171', 0.7074826684911708), ('C0126', 0.7038856606327126)]"
C0042,"[('C0061', 0.9886474706542449), ('C0030', 0.8862153122723151), ('C0010', 0.8538512303634769)]"
C0043,"[('C0052', 0.8269718143611177), ('C0033', 0.7511508686111495), ('C0060', 0.7406321172313175)]"
C0044,"[('C0027', 0.7985603353286338), ('C0117', 0.7850282164355484), ('C0115', 0.7773074724122171)]"
C0045,"[('C0068', 0.7934301016160541), ('C0096', 0.7588964164289869), ('C0084', 0.7398235904800147)]"
C0046,"[('C0196', 0.7923933101413575), ('C0051', 0.758421839998336), ('C0138', 0.7019247520111158)]"
C0047,"[('C0152', 0.687415203010575), ('C0017', 0.677513290901157), ('C0006', 0.6681551527901443)]"
C0048,"[('C0069', 0.7067606949486974), ('C0107', 0.6632232079793404), ('C0168', 0.6322680890493514)]"
C0049,"[('C0072', 0.6657776503206657), ('C0109', 0.6492989746975311), ('C0056', 0.6227927373836453)]"
C0050,"[('C0168', 0.8006764394518416), ('C0118', 0.615728082193686), ('C0020', 0.6028168352124235)]"
C0051,"[('C0028', 0.8166084069491738), ('C0046', 0.758421839998336), ('C0188', 0.7221472792211728)]"
C0052,"[('C0110', 0.9081405328540789), ('C0097', 0.9053309851721808), ('C0060', 0.902181322065947)]"
C0053,"[('C0167', 0.7462744761594906), ('C0031', 0.7453645934769128), ('C0100', 0.7317859327677686)]"
C0054,"[('C0024', 0.8378863522961806), ('C0156', 0.741080093276605), ('C0059', 0.7358632106800862)]"
C0055,"[('C0066', 0.7400887187302211), ('C0149', 0.7096455940083773), ('C0130', 0.6888807225598778)]"
C0056,"[('C0034', 0.8406274039322383), ('C0010', 0.794574048931288), ('C0092', 0.7623576002745496)]"
C0057,"[('C0173', 0.724064795852366), ('C0168', 0.6722780634629287), ('C0118', 0.6442691076803368)]"
C0058,"[('C0040', 0.9164606249583981), ('C0003', 0.7167450485346251), ('C0009', 0.6784662861615857)]"
C0059,"[('C0104', 0.8415855496005051), ('C0162', 0.7400284390276743), ('C0054', 0.7358632106800862)]"
C0060,"[('C0097', 0.9997692116166463), ('C0110', 0.9990482068291929), ('C0052', 0.902181322065947)]"
C0061,"[('C0042', 0.9886474706542449), ('C0010', 0.8859496170757868), ('C0030', 0.8857514924926717)]"
C0062,"[('C0009', 0.6886572034618567), ('C0144', 0.6760733744312536), ('C0083', 0.6503849515447264)]"
C0063,"[('C0142', 0.9565032619148593), ('C0011', 0.7612911044620589), ('C0071', 0.7470951988855452)]"
C0064,"[('C0193', 0.7230583410079233), ('C0174', 0.6641535906168309), ('C0131', 0.6624374042198409)]"
C0065,"[('C0004', 0.7776305048403639), ('C0100', 0.7614810773470694), ('C0082', 0.7416621627099382)]"
C0066,"[('C0016', 0.7835565279544723), ('C0040', 0.7620292275855679), ('C0055', 0.7400887187302211)]"
C0067,"[('C0084', 0.8269243086874711), ('C0013', 0.7429731292243335), ('C0092', 0.7381511251561407)]"
C0068,"[('C0087', 0.8217021806779917), ('C0045', 0.7934301016160541), ('C0021', 0.7608686141482444)]"
C0069,"[('C0130', 0.8654245724457059), ('C0157', 0.7845482619313383), ('C0005', 0.7271933649541091)]"
C0070,"[('C0168', 0.8447307772201726), ('C0193', 0.7614525131269131), ('C0125', 0.728680784621693)]"
C0071,"[('C0063', 0.7470951988855452), ('C0037', 0.7278891195318739), ('C0142', 0.715713950368303)]"
C0072,"[('C0091', 0.6698957643848135), ('C0049', 0.6657776503206657), ('C0129', 0.633420790989328)]"
C0073,"[('C0131', 0.711601079420999), ('C0071', 0.69282140097932), ('C0006', 0.6462071972698501)]"
C0074,"[('C0027', 0.8591693530944489), ('C0117', 0.8034202294656789), ('C0176', 0.6936888753519487)]"
C0075,"[('C0008', 0.8016256234158938), ('C0175', 0.8013876191357532), ('C0173', 0.7518815859363307)]"
C0076,"[('C0128', 0.8350603730789485), ('C0159', 0.8325665384754986), ('C0178', 0.7586213949636526)]"
C0077,"[('C0033', 0.8643319254613628), ('C0083', 0.8574371576781903), ('C0010', 0.7686163457454006)]"
C0078,"[('C0132', 0.8978105542139427), ('C0193', 0.8079879039248092), ('C0167', 0.7554086791579515)]"
C0079,"[('C0086', 0.7852436780033473), ('C0185', 0.7345781866485426), ('C0002', 0.7220020299634365)]"
C0080,"[('C0089', 0.8159577070991825), ('C0119', 0.7056813901935147), ('C0039', 0.664363234796965)]"
C0081,"[('C0187', 0.7017120084312017), ('C0122', 0.698089095467872), ('C0090', 0.6791276466642001)]"
C0082,"[('C0065', 0.7416621627099382), ('C0194', 0.6995821047214241), ('C0161', 0.6790790682090126)]"
C0083,"[('C0077', 0.8574371576781903), ('C0010', 0.7362153574618413), ('C0033', 0.6947847208696224)]"
C0084,"[('C0067', 0.8269243086874711), ('C0021', 0.8039128627712852), ('C0017', 0.7448165210533925)]"
C0085,"[('C0112', 0.8432465674366154), ('C0095', 0.7810906504911621), ('C0152', 0.7456485943074942)]"
C0086,"[('C0079', 0.7852436780033473), ('C0179', 0.7777186171780386), ('C0117', 0.7249251500417558)]"
C0087,"[('C0155', 0.8942582605962839), ('C0068', 0.8217021806779917), ('C0102', 0.7711098060816708)]"
C0088,"[('C0107', 0.7766870104536164), ('C0092', 0.6388257308279328), ('C0198', 0.6223250353524968)]"
C0089,"[('C0080', 0.8159577070991825), ('C0158', 0.7792268219455273), ('C0095', 0.758603526584303)]"
C0090,"[('C0028', 0.7894888454910493), ('C0188', 0.7483909980579089), ('C0102', 0.7030169785215047)]"
C0091,"[('C0197', 0.6822948239803204), ('C0072', 0.6698957643848135), ('C0026', 0.6662262766833859)]"
C0092,"[('C0056', 0.7623576002745496), ('C0010', 0.7409661428525186), ('C0067', 0.7381511251561407)]"
C0093,"[('C0175', 0.8675198029777594), ('C0145', 0.8233798954835277), ('C0141', 0.8202884802096232)]"
C0094,"[('C0131', 0.587843567782102), ('C0073', 0.5702498293487348), ('C0153', 0.5590046024684688)]"
C0095,"[('C0085', 0.7810906504911621), ('C0158', 0.7699452012193952), ('C0089', 0.758603526584303)]"
C0096,"[('C0105', 0.7963413556668453), ('C0045', 0.7588964164289869), ('C0120', 0.7505779218561748)]"
C0097,"[('C0060', 0.9997692116166463), ('C0110', 0.9997547249448541), ('C0052', 0.9053309851721808)]"
C0098,"[('C0008', 0.8372484349949191), ('C0099', 0.8267872129071018), ('C0145', 0.741317979971768)]"
C0099,"[('C0098', 0.8267872129071018), ('C0145', 0.7424986482460655), ('C0165', 0.7271071138862717)]"
C0100,"[('C0065', 0.7614810773470694), ('C0004', 0.7483036068805057), ('C0053', 0.7317859327677686)]"
C0101,"[('C0156', 0.7484562822377075), ('C0147', 0.7150591377946806), ('C0054', 0.6599091940684197)]"
C0102,"[('C0184', 0.8726107521051579), ('C0188', 0.7946254136990145), ('C0087', 0.7711098060816708)]"
